siteID,collectMonth,collectYear,mean_weight,mean_length
CRAM,5,2017,8.23781512605042,76.43697478991596
CRAM,5,2018,12.895890410958904,76.37442922374429
CRAM,5,2021,23.628615384615383,105.50769230769231
CRAM,6,2018,7.463779527559055,75.44881889763779
CRAM,6,2019,28.01404958677686,93.83471074380165
CRAM,9,2020,9.934453781512605,72.39495798319328
CRAM,10,2017,6.177648766328011,67.12481857764877
CRAM,10,2018,6.082941176470588,67.15882352941176
CRAM,10,2019,7.509401709401709,68.2905982905983
PRLA,5,2017,2.072,55.81
PRLA,5,2018,4.3123456790123456,73.5679012345679
PRLA,5,2021,4.333333333333334,72.33333333333333
PRLA,9,2017,1.993142857142857,60.49142857142857
PRLA,9,2018,1.5054054054054054,41.4054054054054
PRLA,9,2019,2.625,65
PRLA,10,2021,0.37272727272727274,29.90909090909091
TOOK,6,2019,51.38,111.18181818181819
TOOK,7,2017,104.51379310344828,148.20689655172413
TOOK,7,2018,80.86507936507937,120.36507936507937
TOOK,7,2021,38.45076923076923,59.05384615384615
TOOK,9,2017,28.62142857142857,107.69642857142857
TOOK,9,2018,113.24545454545455,179.78787878787878
TOOK,9,2019,104.68490566037735,170.96226415094338
TOOK,9,2021,120.17087378640777,144.49514563106797
