siteID,collectDate,mean_SWN
CRAM,2017-10-01,2.4945454545454546
CRAM,2017-11-01,2.503936170212766
CRAM,2018-07-01,4.205882352941177
CRAM,2018-08-01,3.8535490605427976
CRAM,2018-09-01,2.7127358490566036
CRAM,2018-10-01,2.153801801801802
CRAM,2018-11-01,2
CRAM,2019-04-01,7.7625
CRAM,2019-05-01,7.356756756756757
CRAM,2019-07-01,3.0862275449101797
CRAM,2019-08-01,3.411207494795281
CRAM,2019-09-01,3.3536451169188446
CRAM,2019-10-01,2.9406703524533517
CRAM,2019-11-01,2.8823529411764706
CRAM,2020-06-01,3.1604060913705587
CRAM,2020-07-01,0.3666666666666667
CRAM,2020-08-01,5.239739413680781
CRAM,2020-09-01,3.007679180887372
CRAM,2020-10-01,2.822668056279312
CRAM,2021-04-01,2.875121275121275
CRAM,2021-05-01,2.5048519218651544
CRAM,2021-06-01,2.4491749174917494
CRAM,2021-07-01,3.387490102929533
CRAM,2021-08-01,3.8045953360768174
CRAM,2021-09-01,3.5263450834879406
CRAM,2021-10-01,3.269239500567537
CRAM,2021-11-01,3.3048929663608564
CRAM,2022-05-01,6.068871595330739
CRAM,2022-06-01,2.578167713335796
CRAM,2022-07-01,2.7511993382961126
CRAM,2022-08-01,3.281405116456663
CRAM,2022-09-01,3.1318857589984352
CRAM,2022-10-01,2.608860294117647
CRAM,2022-11-01,2.626315789473684
CRAM,2023-05-01,5.268079096045198
CRAM,2023-06-01,3.0692420897718913
CRAM,2023-07-01,3.847474390674673
CRAM,2023-08-01,3.2418835616438355
CRAM,2023-09-01,2.8659122562674093
CRAM,2023-10-01,2.6081243376898624
CRAM,2023-11-01,2.810025488530161
PRLA,2019-06-01,50.620650887573966
PRLA,2019-07-01,41.27284966342558
PRLA,2019-08-01,53.408991537376586
PRLA,2019-09-01,69.85375
PRLA,2019-10-01,50.58790896159317
PRLA,2020-06-01,30.311988180666948
PRLA,2020-07-01,33.01483790523691
PRLA,2020-10-01,40.03892857142857
PRLA,2021-04-01,34.46555772994129
PRLA,2021-05-01,34.79308327598073
PRLA,2021-06-01,42.23025987896048
PRLA,2021-07-01,41.7356599861783
PRLA,2021-08-01,43.82024704618689
PRLA,2021-09-01,44.48946750195771
PRLA,2021-10-01,60.74001068376069
PRLA,2022-04-01,36.94632258064516
PRLA,2022-05-01,32.988617886178865
PRLA,2022-06-01,32.196396396396395
PRLA,2022-07-01,33.58147138964578
PRLA,2022-08-01,35.350966608084356
PRLA,2022-09-01,38.056985294117645
PRLA,2022-10-01,43.10954128440367
PRLA,2022-11-01,45.87594936708861
PRLA,2023-05-01,34.65486725663717
PRLA,2023-06-01,34.57590062111801
PRLA,2023-07-01,35.47007874015748
PRLA,2023-08-01,34.802571428571426
PRLA,2023-09-01,32.68595988538682
PRLA,2023-10-01,31.932765957446808
TOOK,2019-06-01,5.4071428571428575
TOOK,2019-07-01,6.2623853211009175
TOOK,2019-08-01,7.256228571428571
TOOK,2022-06-01,2.2386363636363638
TOOK,2022-07-01,2.864057142857143
TOOK,2022-08-01,2.9994907702100573
TOOK,2022-09-01,2.670630749014455
TOOK,2023-08-01,3.1529348986125934
TOOK,2023-09-01,3.3079784043191363
