siteID,collectDate,mean_weight,mean_length,total_weight,total_individuals
CRAM,2017-05-01,8.23781512605042,76.43697478991596,980.3,119
CRAM,2017-10-01,6.177648766328011,67.12481857764877,4256.4,689
CRAM,2018-05-01,12.895890410958904,76.37442922374429,5648.4,438
CRAM,2018-06-01,7.463779527559055,75.44881889763779,947.9,127
CRAM,2018-10-01,6.082941176470588,67.15882352941176,1034.1,170
CRAM,2019-06-01,28.01404958677686,93.83471074380165,10169.1,363
CRAM,2019-10-01,7.509401709401709,68.2905982905983,1757.2,234
CRAM,2020-09-01,9.934453781512605,72.39495798319328,1182.2,119
CRAM,2021-05-01,23.628615384615383,105.50769230769231,7679.3,325
CRAM,2022-06-01,10.846808510638297,83.91489361702128,1019.6,94
CRAM,2022-10-01,3.6380434782608697,62,334.7,92
CRAM,2023-06-01,19.65820895522388,103.28358208955224,1317.1,67
CRAM,2023-10-01,3.410126582278481,59.69620253164557,269.4,79
PRLA,2017-05-01,2.072,55.81,207.2,100
PRLA,2017-09-01,1.993142857142857,60.49142857142857,348.8,175
PRLA,2018-05-01,4.3123456790123456,73.5679012345679,349.3,81
PRLA,2018-09-01,1.5054054054054054,41.4054054054054,55.7,37
PRLA,2019-09-01,2.625,65,42,16
PRLA,2021-05-01,4.333333333333334,72.33333333333333,13,3
PRLA,2021-10-01,0.37272727272727274,29.90909090909091,4.1,11
PRLA,2022-09-01,0.9823529411764705,43.705882352941174,33.4,34
PRLA,2023-05-01,2.223333333333333,53.733333333333334,133.4,60
PRLA,2023-06-01,1.916346153846154,52.51923076923077,199.3,104
PRLA,2023-09-01,2.94601226993865,65.26993865030674,480.2,163
TOOK,2017-07-01,104.51379310344828,148.20689655172413,3030.9,29
TOOK,2017-09-01,28.62142857142857,107.69642857142857,3205.6,112
TOOK,2018-07-01,80.86507936507937,120.36507936507937,5094.5,63
TOOK,2018-09-01,113.24545454545455,179.78787878787878,3737.1,33
TOOK,2019-06-01,51.38,111.18181818181819,2825.9,55
TOOK,2019-09-01,104.68490566037735,170.96226415094338,5548.3,53
TOOK,2021-07-01,38.45076923076923,59.05384615384615,4998.6,130
TOOK,2021-09-01,120.17087378640777,144.49514563106797,12377.6,103
TOOK,2022-06-01,180.05882352941177,227.8235294117647,3061,17
TOOK,2022-09-01,77.7126582278481,112.07594936708861,6139.3,79
TOOK,2023-06-01,133.5529411764706,164.88235294117646,2270.4,17
TOOK,2023-07-01,17.4875,102.875,139.9,8
TOOK,2023-09-01,113.90987654320988,150.12345679012347,9226.7,81
